team,week,win,points_scored,points_given_up
ATL,4,1.0,48.0,21.0
HOU,4,0.0,21.0,48.0
IND,4,1.0,16.0,13.0
JAX,4,0.0,13.0,16.0
CHI,4,1.0,22.0,20.0
OAK,4,0.0,20.0,22.0
WAS,4,1.0,23.0,20.0
PHI,4,0.0,20.0,23.0
TB,4,0.0,23.0,37.0
CAR,4,1.0,37.0,23.0
CIN,4,1.0,36.0,21.0
KC,4,0.0,21.0,36.0
SD,4,1.0,30.0,27.0
CLE,4,0.0,27.0,30.0
SF,4,0.0,3.0,17.0
GB,4,1.0,17.0,3.0
DEN,4,1.0,23.0,20.0
MIN,4,0.0,20.0,23.0
ARI,4,0.0,22.0,24.0
SL,4,1.0,24.0,22.0
NO,4,1.0,26.0,20.0
DAL,4,0.0,20.0,26.0
SEA,4,1.0,13.0,10.0
DET,4,0.0,10.0,13.0
HOU,5,0.0,20.0,27.0
IND,5,1.0,27.0,20.0
ATL,5,1.0,25.0,19.0
WAS,5,0.0,19.0,25.0
TB,5,1.0,38.0,31.0
JAX,5,0.0,31.0,38.0
BAL,5,0.0,30.0,33.0
CLE,5,1.0,33.0,30.0
KC,5,0.0,17.0,18.0
CHI,5,1.0,18.0,17.0
GB,5,1.0,24.0,10.0
SL,5,0.0,10.0,24.0
CIN,5,1.0,27.0,24.0
SEA,5,0.0,24.0,27.0
TEN,5,0.0,13.0,14.0
BUF,5,1.0,14.0,13.0
PHI,5,1.0,39.0,17.0
NO,5,0.0,17.0,39.0
DET,5,0.0,17.0,42.0
ARI,5,1.0,42.0,17.0
OAK,5,0.0,10.0,16.0
DEN,5,1.0,16.0,10.0
DAL,5,0.0,6.0,30.0
NE,5,1.0,30.0,6.0
NYG,5,1.0,30.0,27.0
SF,5,0.0,27.0,30.0
SD,5,0.0,20.0,24.0
PIT,5,1.0,24.0,20.0
NO,6,1.0,31.0,21.0
ATL,6,0.0,21.0,31.0
CLE,6,0.0,23.0,26.0
DEN,6,1.0,26.0,23.0
BUF,6,0.0,21.0,34.0
CIN,6,1.0,34.0,21.0
NYJ,6,1.0,34.0,20.0
WAS,6,0.0,20.0,34.0
MIN,6,1.0,16.0,10.0
KC,6,0.0,10.0,16.0
JAX,6,0.0,20.0,31.0
HOU,6,1.0,31.0,20.0
DET,6,1.0,37.0,34.0
CHI,6,0.0,34.0,37.0
TEN,6,0.0,10.0,38.0
MIA,6,1.0,38.0,10.0
PIT,6,1.0,25.0,13.0
ARI,6,0.0,13.0,25.0
SEA,6,0.0,23.0,27.0
CAR,6,1.0,27.0,23.0
SF,6,1.0,25.0,20.0
BAL,6,0.0,20.0,25.0
GB,6,1.0,27.0,20.0
SD,6,0.0,20.0,27.0
IND,6,0.0,27.0,34.0
NE,6,1.0,34.0,27.0
PHI,6,1.0,27.0,7.0
NYG,6,0.0,7.0,27.0
SF,7,0.0,3.0,20.0
SEA,7,1.0,20.0,3.0
JAX,7,1.0,34.0,31.0
BUF,7,0.0,31.0,34.0
SL,7,1.0,24.0,6.0
CLE,7,0.0,6.0,24.0
TEN,7,0.0,7.0,10.0
ATL,7,1.0,10.0,7.0
NE,7,1.0,30.0,23.0
NYJ,7,0.0,23.0,30.0
MIA,7,1.0,44.0,26.0
HOU,7,0.0,26.0,44.0
DET,7,0.0,19.0,28.0
MIN,7,1.0,28.0,19.0
IND,7,0.0,21.0,27.0
NO,7,1.0,27.0,21.0
KC,7,1.0,23.0,13.0
PIT,7,0.0,13.0,23.0
WAS,7,1.0,31.0,30.0
TB,7,0.0,30.0,31.0
SD,7,0.0,29.0,37.0
OAK,7,1.0,37.0,29.0
NYG,7,1.0,27.0,20.0
DAL,7,0.0,20.0,27.0
CAR,7,1.0,27.0,16.0
PHI,7,0.0,16.0,27.0
ARI,7,1.0,26.0,18.0
BAL,7,0.0,18.0,26.0
NE,8,1.0,36.0,7.0
MIA,8,0.0,7.0,36.0
KC,8,1.0,45.0,10.0
DET,8,0.0,10.0,45.0
CHI,8,0.0,20.0,23.0
MIN,8,1.0,23.0,20.0
SL,8,1.0,27.0,6.0
SF,8,0.0,6.0,27.0
ATL,8,0.0,20.0,23.0
TB,8,1.0,23.0,20.0
BAL,8,1.0,29.0,26.0
SD,8,0.0,26.0,29.0
PIT,8,0.0,10.0,16.0
CIN,8,1.0,16.0,10.0
NO,8,1.0,52.0,49.0
NYG,8,0.0,49.0,52.0
HOU,8,1.0,20.0,6.0
TEN,8,0.0,6.0,20.0
CLE,8,0.0,20.0,34.0
ARI,8,1.0,34.0,20.0
OAK,8,1.0,34.0,20.0
NYJ,8,0.0,20.0,34.0
DAL,8,0.0,12.0,13.0
SEA,8,1.0,13.0,12.0
DEN,8,1.0,29.0,10.0
GB,8,0.0,10.0,29.0
CAR,8,1.0,29.0,26.0
IND,8,0.0,26.0,29.0
CIN,9,1.0,31.0,10.0
CLE,9,0.0,10.0,31.0
BUF,9,1.0,33.0,17.0
MIA,9,0.0,17.0,33.0
PIT,9,1.0,38.0,35.0
OAK,9,0.0,35.0,38.0
NYJ,9,1.0,28.0,23.0
JAX,9,0.0,23.0,28.0
NE,9,1.0,27.0,10.0
WAS,9,0.0,10.0,27.0
NO,9,0.0,28.0,34.0
TEN,9,1.0,34.0,28.0
MIN,9,1.0,21.0,18.0
SL,9,0.0,18.0,21.0
CAR,9,1.0,37.0,29.0
GB,9,0.0,29.0,37.0
TB,9,0.0,18.0,32.0
NYG,9,1.0,32.0,18.0
SF,9,1.0,17.0,16.0
ATL,9,0.0,16.0,17.0
IND,9,1.0,27.0,24.0
DEN,9,0.0,24.0,27.0
DAL,9,0.0,27.0,33.0
PHI,9,1.0,33.0,27.0
SD,9,0.0,19.0,22.0
CHI,9,1.0,22.0,19.0
NYJ,10,0.0,17.0,22.0
BUF,10,1.0,22.0,17.0
SL,10,0.0,13.0,37.0
CHI,10,1.0,37.0,13.0
TEN,10,0.0,10.0,27.0
CAR,10,1.0,27.0,10.0
GB,10,0.0,16.0,18.0
DET,10,1.0,18.0,16.0
PIT,10,1.0,30.0,9.0
CLE,10,0.0,9.0,30.0
WAS,10,1.0,47.0,14.0
NO,10,0.0,14.0,47.0
TB,10,1.0,10.0,6.0
DAL,10,0.0,6.0,10.0
BAL,10,0.0,20.0,22.0
JAX,10,1.0,22.0,20.0
PHI,10,0.0,19.0,20.0
MIA,10,1.0,20.0,19.0
OAK,10,0.0,14.0,30.0
MIN,10,1.0,30.0,14.0
DEN,10,0.0,13.0,29.0
KC,10,1.0,29.0,13.0
NYG,10,0.0,26.0,27.0
NE,10,1.0,27.0,26.0
SEA,10,0.0,32.0,39.0
ARI,10,1.0,39.0,32.0
CIN,10,0.0,6.0,10.0
HOU,10,1.0,10.0,6.0
JAX,11,1.0,19.0,13.0
TEN,11,0.0,13.0,19.0
CAR,11,1.0,44.0,16.0
WAS,11,0.0,16.0,44.0
ATL,11,0.0,21.0,24.0
IND,11,1.0,24.0,21.0
BAL,11,1.0,16.0,13.0
SL,11,0.0,13.0,16.0
PHI,11,0.0,17.0,45.0
TB,11,1.0,45.0,17.0
DET,11,1.0,18.0,13.0
OAK,11,0.0,13.0,18.0
CHI,11,0.0,15.0,17.0
DEN,11,1.0,17.0,15.0
MIA,11,0.0,14.0,24.0
DAL,11,1.0,24.0,14.0
HOU,11,1.0,24.0,17.0
NYJ,11,0.0,17.0,24.0
SD,11,0.0,3.0,33.0
KC,11,1.0,33.0,3.0
MIN,11,0.0,13.0,30.0
GB,11,1.0,30.0,13.0
SEA,11,1.0,29.0,13.0
SF,11,0.0,13.0,29.0
ARI,11,1.0,34.0,31.0
CIN,11,0.0,31.0,34.0
NE,11,1.0,20.0,13.0
BUF,11,0.0,13.0,20.0
DET,12,1.0,45.0,14.0
PHI,12,0.0,14.0,45.0
DAL,12,0.0,14.0,33.0
CAR,12,1.0,33.0,14.0
GB,12,0.0,13.0,17.0
CHI,12,1.0,17.0,13.0
TEN,12,0.0,21.0,24.0
OAK,12,1.0,24.0,21.0
NYJ,12,1.0,38.0,20.0
MIA,12,0.0,20.0,38.0
HOU,12,1.0,24.0,6.0
NO,12,0.0,6.0,24.0
IND,12,1.0,25.0,12.0
TB,12,0.0,12.0,25.0
CIN,12,1.0,31.0,7.0
SL,12,0.0,7.0,31.0
ATL,12,0.0,10.0,20.0
MIN,12,1.0,20.0,10.0
WAS,12,1.0,20.0,14.0
NYG,12,0.0,14.0,20.0
KC,12,1.0,30.0,22.0
BUF,12,0.0,22.0,30.0
JAX,12,0.0,25.0,31.0
SD,12,1.0,31.0,25.0
SF,12,0.0,13.0,19.0
ARI,12,1.0,19.0,13.0
SEA,12,1.0,39.0,30.0
PIT,12,0.0,30.0,39.0
DEN,12,1.0,30.0,24.0
NE,12,0.0,24.0,30.0
CLE,12,0.0,27.0,33.0
BAL,12,1.0,33.0,27.0
DET,13,0.0,23.0,27.0
GB,13,1.0,27.0,23.0
SL,13,0.0,3.0,27.0
ARI,13,1.0,27.0,3.0
CHI,13,0.0,20.0,26.0
SF,13,1.0,26.0,20.0
BUF,13,1.0,30.0,21.0
HOU,13,0.0,21.0,30.0
TEN,13,1.0,42.0,39.0
JAX,13,0.0,39.0,42.0
MIN,13,0.0,7.0,38.0
SEA,13,1.0,38.0,7.0
TB,13,1.0,23.0,19.0
ATL,13,0.0,19.0,23.0
NYG,13,0.0,20.0,23.0
NYJ,13,1.0,23.0,20.0
MIA,13,1.0,15.0,13.0
BAL,13,0.0,13.0,15.0
CLE,13,0.0,3.0,37.0
CIN,13,1.0,37.0,3.0
SD,13,0.0,3.0,17.0
DEN,13,1.0,17.0,3.0
OAK,13,0.0,20.0,34.0
KC,13,1.0,34.0,20.0
NE,13,0.0,28.0,35.0
PHI,13,1.0,35.0,28.0
NO,13,0.0,38.0,41.0
CAR,13,1.0,41.0,38.0
PIT,13,1.0,45.0,10.0
IND,13,0.0,10.0,45.0
WAS,13,0.0,16.0,19.0
DAL,13,1.0,19.0,16.0
ARI,14,1.0,23.0,20.0
MIN,14,0.0,20.0,23.0
PHI,14,1.0,23.0,20.0
BUF,14,0.0,20.0,23.0
CHI,14,0.0,21.0,24.0
WAS,14,1.0,24.0,21.0
TB,14,0.0,17.0,24.0
NO,14,1.0,24.0,17.0
BAL,14,0.0,6.0,35.0
SEA,14,1.0,35.0,6.0
SL,14,1.0,21.0,14.0
DET,14,0.0,14.0,21.0
NYJ,14,1.0,30.0,8.0
TEN,14,0.0,8.0,30.0
JAX,14,1.0,51.0,16.0
IND,14,0.0,16.0,51.0
CLE,14,1.0,24.0,10.0
SF,14,0.0,10.0,24.0
CIN,14,0.0,20.0,33.0
PIT,14,1.0,33.0,20.0
CAR,14,1.0,38.0,0.0
ATL,14,0.0,0.0,38.0
KC,14,1.0,10.0,3.0
SD,14,0.0,3.0,10.0
DEN,14,0.0,12.0,15.0
OAK,14,1.0,15.0,12.0
GB,14,1.0,28.0,7.0
DAL,14,0.0,7.0,28.0
HOU,14,0.0,6.0,27.0
NE,14,1.0,27.0,6.0
MIA,14,0.0,24.0,31.0
NYG,14,1.0,31.0,24.0
SL,15,1.0,31.0,23.0
TB,15,0.0,23.0,31.0
DAL,15,0.0,16.0,19.0
NYJ,15,1.0,19.0,16.0
IND,15,0.0,10.0,16.0
HOU,15,1.0,16.0,10.0
BAL,15,0.0,14.0,34.0
KC,15,1.0,34.0,14.0
NYG,15,0.0,35.0,38.0
CAR,15,1.0,38.0,35.0
NE,15,1.0,33.0,16.0
TEN,15,0.0,16.0,33.0
MIN,15,1.0,38.0,17.0
CHI,15,0.0,17.0,38.0
JAX,15,0.0,17.0,23.0
ATL,15,1.0,23.0,17.0
WAS,15,1.0,35.0,25.0
BUF,15,0.0,25.0,35.0
OAK,15,0.0,20.0,30.0
GB,15,1.0,30.0,20.0
SEA,15,1.0,30.0,13.0
CLE,15,0.0,13.0,30.0
SF,15,0.0,14.0,24.0
CIN,15,1.0,24.0,14.0
SD,15,1.0,30.0,14.0
MIA,15,0.0,14.0,30.0
PIT,15,1.0,34.0,27.0
DEN,15,0.0,27.0,34.0
PHI,15,0.0,17.0,40.0
ARI,15,1.0,40.0,17.0
NO,15,0.0,27.0,35.0
DET,15,1.0,35.0,27.0
OAK,16,1.0,23.0,20.0
SD,16,0.0,20.0,23.0
PHI,16,0.0,24.0,38.0
WAS,16,1.0,38.0,24.0
ATL,16,1.0,20.0,13.0
CAR,16,0.0,13.0,20.0
BAL,16,1.0,20.0,17.0
PIT,16,0.0,17.0,20.0
TEN,16,0.0,6.0,34.0
HOU,16,1.0,34.0,6.0
NYJ,16,1.0,26.0,20.0
NE,16,0.0,20.0,26.0
MIA,16,0.0,12.0,18.0
IND,16,1.0,18.0,12.0
BUF,16,1.0,16.0,6.0
DAL,16,0.0,6.0,16.0
TB,16,0.0,21.0,26.0
CHI,16,1.0,26.0,21.0
KC,16,1.0,17.0,13.0
CLE,16,0.0,13.0,17.0
DET,16,1.0,32.0,17.0
SF,16,0.0,17.0,32.0
NO,16,1.0,38.0,27.0
JAX,16,0.0,27.0,38.0
ARI,16,1.0,38.0,8.0
GB,16,0.0,8.0,38.0
SEA,16,0.0,17.0,23.0
SL,16,1.0,23.0,17.0
MIN,16,1.0,49.0,17.0
NYG,16,0.0,17.0,49.0
DEN,16,1.0,20.0,17.0
CIN,16,0.0,17.0,20.0
