team,week,win,points_scored,points_given_up
NE,1,1.0,28.0,21.0
PIT,1,0.0,21.0,28.0
CHI,1,0.0,23.0,31.0
GB,1,1.0,31.0,23.0
SL,1,1.0,34.0,31.0
SEA,1,0.0,31.0,34.0
WAS,1,0.0,10.0,17.0
MIA,1,1.0,17.0,10.0
HOU,1,0.0,20.0,27.0
KC,1,1.0,27.0,20.0
BUF,1,1.0,27.0,14.0
IND,1,0.0,14.0,27.0
JAX,1,0.0,9.0,20.0
CAR,1,1.0,20.0,9.0
NYJ,1,1.0,31.0,10.0
CLE,1,0.0,10.0,31.0
SD,1,1.0,33.0,28.0
DET,1,0.0,28.0,33.0
ARI,1,1.0,31.0,19.0
NO,1,0.0,19.0,31.0
TB,1,0.0,14.0,42.0
TEN,1,1.0,42.0,14.0
OAK,1,0.0,13.0,33.0
CIN,1,1.0,33.0,13.0
DEN,1,1.0,19.0,13.0
BAL,1,0.0,13.0,19.0
DAL,1,1.0,27.0,26.0
NYG,1,0.0,26.0,27.0
ATL,1,1.0,26.0,24.0
PHI,1,0.0,24.0,26.0
SF,1,1.0,20.0,3.0
MIN,1,0.0,3.0,20.0
KC,2,0.0,24.0,31.0
DEN,2,1.0,31.0,24.0
CHI,2,0.0,23.0,48.0
ARI,2,1.0,48.0,23.0
CAR,2,1.0,24.0,17.0
HOU,2,0.0,17.0,24.0
BUF,2,0.0,32.0,40.0
NE,2,1.0,40.0,32.0
PIT,2,1.0,43.0,18.0
SF,2,0.0,18.0,43.0
NYG,2,0.0,20.0,24.0
ATL,2,1.0,24.0,20.0
NO,2,0.0,19.0,26.0
TB,2,1.0,26.0,19.0
CLE,2,1.0,28.0,14.0
TEN,2,0.0,14.0,28.0
WAS,2,1.0,24.0,10.0
SL,2,0.0,10.0,24.0
MIN,2,1.0,26.0,16.0
DET,2,0.0,16.0,26.0
CIN,2,1.0,24.0,19.0
SD,2,0.0,19.0,24.0
OAK,2,1.0,37.0,33.0
BAL,2,0.0,33.0,37.0
JAX,2,1.0,23.0,20.0
MIA,2,0.0,20.0,23.0
PHI,2,0.0,10.0,20.0
DAL,2,1.0,20.0,10.0
GB,2,1.0,27.0,17.0
SEA,2,0.0,17.0,27.0
IND,2,0.0,7.0,20.0
NYJ,2,1.0,20.0,7.0
NYG,3,1.0,32.0,21.0
WAS,3,0.0,21.0,32.0
SL,3,0.0,6.0,12.0
PIT,3,1.0,12.0,6.0
CLE,3,0.0,20.0,27.0
OAK,3,1.0,27.0,20.0
BAL,3,0.0,24.0,28.0
CIN,3,1.0,28.0,24.0
MIN,3,1.0,31.0,14.0
SD,3,0.0,14.0,31.0
CAR,3,1.0,27.0,22.0
NO,3,0.0,22.0,27.0
TEN,3,0.0,33.0,35.0
IND,3,1.0,35.0,33.0
NYJ,3,0.0,17.0,24.0
PHI,3,1.0,24.0,17.0
HOU,3,1.0,19.0,9.0
TB,3,0.0,9.0,19.0
DAL,3,0.0,28.0,39.0
ATL,3,1.0,39.0,28.0
NE,3,1.0,51.0,17.0
JAX,3,0.0,17.0,51.0
ARI,3,1.0,47.0,7.0
SF,3,0.0,7.0,47.0
MIA,3,0.0,14.0,41.0
BUF,3,1.0,41.0,14.0
SEA,3,1.0,26.0,0.0
CHI,3,0.0,0.0,26.0
DET,3,0.0,12.0,24.0
DEN,3,1.0,24.0,12.0
GB,3,1.0,38.0,28.0
KC,3,0.0,28.0,38.0
PIT,4,0.0,20.0,23.0
BAL,4,1.0,23.0,20.0
MIA,4,0.0,14.0,27.0
NYJ,4,1.0,27.0,14.0
BUF,4,0.0,10.0,24.0
NYG,4,1.0,24.0,10.0
