team,week,win,points_scored,points_given_up
IND,7,0.0,0.0,27.0
JAX,7,1.0,27.0,0.0
CLE,7,0.0,9.0,12.0
TEN,7,1.0,12.0,9.0
SF,7,0.0,10.0,40.0
DAL,7,1.0,40.0,10.0
LAC,7,1.0,21.0,0.0
DEN,7,0.0,0.0,21.0
PIT,7,1.0,29.0,14.0
CIN,7,0.0,14.0,29.0
NYG,7,0.0,7.0,24.0
SEA,7,1.0,24.0,7.0
NE,7,1.0,23.0,7.0
ATL,7,0.0,7.0,23.0
PHI,7,1.0,34.0,24.0
WAS,7,0.0,24.0,34.0
BAL,8,1.0,40.0,0.0
MIA,8,0.0,0.0,40.0
CLE,8,0.0,16.0,33.0
MIN,8,1.0,33.0,16.0
CIN,8,1.0,24.0,23.0
IND,8,0.0,23.0,24.0
BUF,8,1.0,34.0,14.0
OAK,8,0.0,14.0,34.0
TB,8,0.0,3.0,17.0
CAR,8,1.0,17.0,3.0
PHI,8,1.0,33.0,10.0
SF,8,0.0,10.0,33.0
NYJ,8,0.0,20.0,25.0
ATL,8,1.0,25.0,20.0
NE,8,1.0,21.0,13.0
LAC,8,0.0,13.0,21.0
NO,8,1.0,20.0,12.0
CHI,8,0.0,12.0,20.0
SEA,8,1.0,41.0,38.0
HOU,8,0.0,38.0,41.0
WAS,8,0.0,19.0,33.0
DAL,8,1.0,33.0,19.0
DET,8,0.0,15.0,20.0
PIT,8,1.0,20.0,15.0
KC,8,1.0,29.0,19.0
DEN,8,0.0,19.0,29.0
NYJ,9,1.0,34.0,21.0
BUF,9,0.0,21.0,34.0
CAR,9,1.0,20.0,17.0
ATL,9,0.0,17.0,20.0
PHI,9,1.0,51.0,23.0
DEN,9,0.0,23.0,51.0
TEN,9,1.0,23.0,20.0
BAL,9,0.0,20.0,23.0
NYG,9,0.0,17.0,51.0
LA,9,1.0,51.0,17.0
NO,9,1.0,30.0,10.0
TB,9,0.0,10.0,30.0
JAX,9,1.0,23.0,7.0
CIN,9,0.0,7.0,23.0
HOU,9,0.0,14.0,20.0
IND,9,1.0,20.0,14.0
SF,9,0.0,10.0,20.0
ARI,9,1.0,20.0,10.0
SEA,9,0.0,14.0,17.0
WAS,9,1.0,17.0,14.0
DAL,9,1.0,28.0,17.0
KC,9,0.0,17.0,28.0
MIA,9,0.0,24.0,27.0
OAK,9,1.0,27.0,24.0
GB,9,0.0,17.0,30.0
DET,9,1.0,30.0,17.0
ARI,10,0.0,16.0,22.0
SEA,10,1.0,22.0,16.0
BUF,10,0.0,10.0,47.0
NO,10,1.0,47.0,10.0
WAS,10,0.0,30.0,38.0
MIN,10,1.0,38.0,30.0
TB,10,1.0,15.0,10.0
NYJ,10,0.0,10.0,15.0
TEN,10,1.0,24.0,20.0
CIN,10,0.0,20.0,24.0
JAX,10,1.0,20.0,17.0
LAC,10,0.0,17.0,20.0
DET,10,1.0,38.0,24.0
CLE,10,0.0,24.0,38.0
IND,10,0.0,17.0,20.0
PIT,10,1.0,20.0,17.0
CHI,10,0.0,16.0,23.0
GB,10,1.0,23.0,16.0
LA,10,1.0,33.0,7.0
HOU,10,0.0,7.0,33.0
ATL,10,1.0,27.0,7.0
DAL,10,0.0,7.0,27.0
SF,10,1.0,31.0,21.0
NYG,10,0.0,21.0,31.0
DEN,10,0.0,16.0,41.0
NE,10,1.0,41.0,16.0
CAR,10,1.0,45.0,21.0
MIA,10,0.0,21.0,45.0
PIT,11,1.0,40.0,17.0
TEN,11,0.0,17.0,40.0
CLE,11,0.0,7.0,19.0
JAX,11,1.0,19.0,7.0
CHI,11,0.0,24.0,27.0
DET,11,1.0,27.0,24.0
NYG,11,1.0,12.0,9.0
KC,11,0.0,9.0,12.0
NO,11,1.0,34.0,31.0
WAS,11,0.0,31.0,34.0
MIN,11,1.0,24.0,7.0
LA,11,0.0,7.0,24.0
MIA,11,0.0,20.0,30.0
TB,11,1.0,30.0,20.0
HOU,11,1.0,31.0,21.0
ARI,11,0.0,21.0,31.0
GB,11,0.0,0.0,23.0
BAL,11,1.0,23.0,0.0
LAC,11,1.0,54.0,24.0
BUF,11,0.0,24.0,54.0
OAK,11,0.0,8.0,33.0
NE,11,1.0,33.0,8.0
DEN,11,0.0,17.0,20.0
CIN,11,1.0,20.0,17.0
DAL,11,0.0,9.0,37.0
PHI,11,1.0,37.0,9.0
SEA,11,0.0,31.0,34.0
ATL,11,1.0,34.0,31.0
DET,12,0.0,23.0,30.0
MIN,12,1.0,30.0,23.0
DAL,12,0.0,6.0,28.0
LAC,12,1.0,28.0,6.0
WAS,12,1.0,20.0,10.0
NYG,12,0.0,10.0,20.0
PHI,12,1.0,31.0,3.0
CHI,12,0.0,3.0,31.0
NYJ,12,0.0,27.0,35.0
CAR,12,1.0,35.0,27.0
NE,12,1.0,35.0,17.0
MIA,12,0.0,17.0,35.0
KC,12,0.0,10.0,16.0
BUF,12,1.0,16.0,10.0
IND,12,0.0,16.0,20.0
TEN,12,1.0,20.0,16.0
CIN,12,1.0,30.0,16.0
CLE,12,0.0,16.0,30.0
ATL,12,1.0,34.0,20.0
TB,12,0.0,20.0,34.0
SF,12,0.0,13.0,24.0
SEA,12,1.0,24.0,13.0
LA,12,1.0,26.0,20.0
NO,12,0.0,20.0,26.0
OAK,12,1.0,21.0,14.0
DEN,12,0.0,14.0,21.0
ARI,12,1.0,27.0,24.0
JAX,12,0.0,24.0,27.0
PIT,12,1.0,31.0,28.0
GB,12,0.0,28.0,31.0
BAL,12,1.0,23.0,16.0
HOU,12,0.0,16.0,23.0
DAL,13,1.0,38.0,14.0
WAS,13,0.0,14.0,38.0
BUF,13,0.0,3.0,23.0
NE,13,1.0,23.0,3.0
ATL,13,0.0,9.0,14.0
MIN,13,1.0,14.0,9.0
BAL,13,1.0,44.0,20.0
DET,13,0.0,20.0,44.0
TEN,13,1.0,24.0,13.0
HOU,13,0.0,13.0,24.0
NYJ,13,1.0,38.0,31.0
KC,13,0.0,31.0,38.0
MIA,13,1.0,35.0,9.0
DEN,13,0.0,9.0,35.0
JAX,13,1.0,30.0,10.0
IND,13,0.0,10.0,30.0
GB,13,1.0,26.0,20.0
TB,13,0.0,20.0,26.0
CHI,13,0.0,14.0,15.0
SF,13,1.0,15.0,14.0
LAC,13,1.0,19.0,10.0
CLE,13,0.0,10.0,19.0
OAK,13,1.0,24.0,17.0
NYG,13,0.0,17.0,24.0
NO,13,1.0,31.0,21.0
CAR,13,0.0,21.0,31.0
ARI,13,0.0,16.0,32.0
LA,13,1.0,32.0,16.0
SEA,13,1.0,24.0,10.0
PHI,13,0.0,10.0,24.0
CIN,13,0.0,20.0,23.0
PIT,13,1.0,23.0,20.0
ATL,14,1.0,20.0,17.0
NO,14,0.0,17.0,20.0
CAR,14,1.0,31.0,24.0
MIN,14,0.0,24.0,31.0
BUF,14,1.0,13.0,7.0
IND,14,0.0,7.0,13.0
TB,14,0.0,21.0,24.0
DET,14,1.0,24.0,21.0
NYG,14,0.0,10.0,30.0
DAL,14,1.0,30.0,10.0
KC,14,1.0,26.0,15.0
OAK,14,0.0,15.0,26.0
HOU,14,0.0,16.0,26.0
SF,14,1.0,26.0,16.0
CLE,14,0.0,21.0,27.0
GB,14,1.0,27.0,21.0
CIN,14,0.0,7.0,33.0
CHI,14,1.0,33.0,7.0
LAC,14,1.0,30.0,13.0
WAS,14,0.0,13.0,30.0
DEN,14,1.0,23.0,0.0
NYJ,14,0.0,0.0,23.0
ARI,14,1.0,12.0,7.0
TEN,14,0.0,7.0,12.0
LA,14,0.0,35.0,43.0
PHI,14,1.0,43.0,35.0
JAX,14,1.0,30.0,24.0
SEA,14,0.0,24.0,30.0
PIT,14,1.0,39.0,38.0
BAL,14,0.0,38.0,39.0
MIA,14,1.0,27.0,20.0
NE,14,0.0,20.0,27.0
IND,15,0.0,13.0,25.0
DEN,15,1.0,25.0,13.0
DET,15,1.0,20.0,10.0
CHI,15,0.0,10.0,20.0
KC,15,1.0,30.0,13.0
LAC,15,0.0,13.0,30.0
WAS,15,1.0,20.0,15.0
ARI,15,0.0,15.0,20.0
NYG,15,0.0,29.0,34.0
PHI,15,1.0,34.0,29.0
NO,15,1.0,31.0,19.0
NYJ,15,0.0,19.0,31.0
MIN,15,1.0,34.0,7.0
CIN,15,0.0,7.0,34.0
JAX,15,1.0,45.0,7.0
HOU,15,0.0,7.0,45.0
CLE,15,0.0,10.0,27.0
BAL,15,1.0,27.0,10.0
CAR,15,1.0,31.0,24.0
GB,15,0.0,24.0,31.0
BUF,15,1.0,24.0,16.0
MIA,15,0.0,16.0,24.0
SEA,15,0.0,7.0,42.0
LA,15,1.0,42.0,7.0
SF,15,1.0,25.0,23.0
TEN,15,0.0,23.0,25.0
PIT,15,0.0,24.0,27.0
NE,15,1.0,27.0,24.0
OAK,15,0.0,17.0,20.0
DAL,15,1.0,20.0,17.0
TB,15,0.0,21.0,24.0
ATL,15,1.0,24.0,21.0
BAL,16,1.0,23.0,16.0
IND,16,0.0,16.0,23.0
GB,16,0.0,0.0,16.0
MIN,16,1.0,16.0,0.0
CAR,16,1.0,22.0,19.0
TB,16,0.0,19.0,22.0
WAS,16,1.0,27.0,11.0
DEN,16,0.0,11.0,27.0
TEN,16,0.0,23.0,27.0
LA,16,1.0,27.0,23.0
NYJ,16,0.0,7.0,14.0
LAC,16,1.0,14.0,7.0
NE,16,1.0,37.0,16.0
BUF,16,0.0,16.0,37.0
NO,16,1.0,23.0,13.0
ATL,16,0.0,13.0,23.0
KC,16,1.0,29.0,13.0
MIA,16,0.0,13.0,29.0
CIN,16,1.0,26.0,17.0
DET,16,0.0,17.0,26.0
CHI,16,1.0,20.0,3.0
CLE,16,0.0,3.0,20.0
SF,16,1.0,44.0,33.0
JAX,16,0.0,33.0,44.0
DAL,16,0.0,12.0,21.0
SEA,16,1.0,21.0,12.0
ARI,16,1.0,23.0,0.0
NYG,16,0.0,0.0,23.0
HOU,16,0.0,6.0,34.0
PIT,16,1.0,34.0,6.0
PHI,16,1.0,19.0,10.0
OAK,16,0.0,10.0,19.0
