team,week,win,points_scored,points_given_up
NE,1,0.0,27.0,42.0
KC,1,1.0,42.0,27.0
CHI,1,0.0,17.0,23.0
ATL,1,1.0,23.0,17.0
BUF,1,1.0,21.0,12.0
NYJ,1,0.0,12.0,21.0
WAS,1,0.0,17.0,30.0
PHI,1,1.0,30.0,17.0
TEN,1,0.0,16.0,26.0
OAK,1,1.0,26.0,16.0
HOU,1,0.0,7.0,29.0
JAX,1,1.0,29.0,7.0
DET,1,1.0,35.0,23.0
ARI,1,0.0,23.0,35.0
CLE,1,0.0,18.0,21.0
PIT,1,1.0,21.0,18.0
CIN,1,0.0,0.0,20.0
BAL,1,1.0,20.0,0.0
LA,1,1.0,46.0,9.0
IND,1,0.0,9.0,46.0
SF,1,0.0,3.0,23.0
CAR,1,1.0,23.0,3.0
GB,1,1.0,17.0,9.0
SEA,1,0.0,9.0,17.0
DAL,1,1.0,19.0,3.0
NYG,1,0.0,3.0,19.0
MIN,1,1.0,29.0,19.0
NO,1,0.0,19.0,29.0
DEN,1,1.0,24.0,21.0
LAC,1,0.0,21.0,24.0
CIN,2,0.0,9.0,13.0
HOU,2,1.0,13.0,9.0
CAR,2,1.0,9.0,3.0
BUF,2,0.0,3.0,9.0
TB,2,1.0,29.0,7.0
CHI,2,0.0,7.0,29.0
BAL,2,1.0,24.0,10.0
CLE,2,0.0,10.0,24.0
PIT,2,1.0,26.0,9.0
MIN,2,0.0,9.0,26.0
NO,2,0.0,20.0,36.0
NE,2,1.0,36.0,20.0
KC,2,1.0,27.0,20.0
PHI,2,0.0,20.0,27.0
JAX,2,0.0,16.0,37.0
TEN,2,1.0,37.0,16.0
IND,2,0.0,13.0,16.0
ARI,2,1.0,16.0,13.0
LAC,2,0.0,17.0,19.0
MIA,2,1.0,19.0,17.0
OAK,2,1.0,45.0,20.0
NYJ,2,0.0,20.0,45.0
SEA,2,1.0,12.0,9.0
SF,2,0.0,9.0,12.0
LA,2,0.0,20.0,27.0
WAS,2,1.0,27.0,20.0
DEN,2,1.0,42.0,17.0
DAL,2,0.0,17.0,42.0
ATL,2,1.0,34.0,23.0
GB,2,0.0,23.0,34.0
NYG,2,0.0,10.0,24.0
DET,2,1.0,24.0,10.0
SF,3,0.0,39.0,41.0
LA,3,1.0,41.0,39.0
JAX,3,1.0,44.0,7.0
BAL,3,0.0,7.0,44.0
CAR,3,0.0,13.0,34.0
NO,3,1.0,34.0,13.0
BUF,3,1.0,26.0,16.0
DEN,3,0.0,16.0,26.0
PHI,3,1.0,27.0,24.0
NYG,3,0.0,24.0,27.0
NYJ,3,1.0,20.0,6.0
MIA,3,0.0,6.0,20.0
NE,3,1.0,36.0,33.0
HOU,3,0.0,33.0,36.0
MIN,3,1.0,34.0,17.0
TB,3,0.0,17.0,34.0
DET,3,0.0,26.0,30.0
ATL,3,1.0,30.0,26.0
IND,3,1.0,31.0,28.0
CLE,3,0.0,28.0,31.0
CHI,3,1.0,23.0,17.0
PIT,3,0.0,17.0,23.0
TEN,3,1.0,33.0,27.0
SEA,3,0.0,27.0,33.0
LAC,3,0.0,10.0,24.0
KC,3,1.0,24.0,10.0
GB,3,1.0,27.0,24.0
CIN,3,0.0,24.0,27.0
WAS,3,1.0,27.0,10.0
OAK,3,0.0,10.0,27.0
ARI,3,0.0,17.0,28.0
DAL,3,1.0,28.0,17.0
GB,4,1.0,35.0,14.0
CHI,4,0.0,14.0,35.0
MIA,4,0.0,0.0,20.0
NO,4,1.0,20.0,0.0
CLE,4,0.0,7.0,31.0
CIN,4,1.0,31.0,7.0
ATL,4,0.0,17.0,23.0
BUF,4,1.0,23.0,17.0
BAL,4,0.0,9.0,26.0
PIT,4,1.0,26.0,9.0
NYJ,4,1.0,23.0,20.0
JAX,4,0.0,20.0,23.0
NE,4,0.0,30.0,33.0
CAR,4,1.0,33.0,30.0
MIN,4,0.0,7.0,14.0
DET,4,1.0,14.0,7.0
HOU,4,1.0,57.0,14.0
TEN,4,0.0,14.0,57.0
DAL,4,0.0,30.0,35.0
LA,4,1.0,35.0,30.0
TB,4,1.0,25.0,23.0
NYG,4,0.0,23.0,25.0
LAC,4,0.0,24.0,26.0
PHI,4,1.0,26.0,24.0
ARI,4,1.0,18.0,15.0
SF,4,0.0,15.0,18.0
DEN,4,1.0,16.0,10.0
OAK,4,0.0,10.0,16.0
SEA,4,1.0,46.0,18.0
IND,4,0.0,18.0,46.0
KC,4,1.0,29.0,20.0
WAS,4,0.0,20.0,29.0
TB,5,0.0,14.0,19.0
NE,5,1.0,19.0,14.0
CLE,5,0.0,14.0,17.0
NYJ,5,1.0,17.0,14.0
CIN,5,1.0,20.0,16.0
BUF,5,0.0,16.0,20.0
PIT,5,0.0,9.0,30.0
JAX,5,1.0,30.0,9.0
PHI,5,1.0,34.0,7.0
ARI,5,0.0,7.0,34.0
NYG,5,0.0,22.0,27.0
LAC,5,1.0,27.0,22.0
MIA,5,1.0,16.0,10.0
TEN,5,0.0,10.0,16.0
DET,5,0.0,24.0,27.0
CAR,5,1.0,27.0,24.0
IND,5,1.0,26.0,23.0
SF,5,0.0,23.0,26.0
LA,5,0.0,10.0,16.0
SEA,5,1.0,16.0,10.0
OAK,5,0.0,17.0,30.0
BAL,5,1.0,30.0,17.0
DAL,5,0.0,31.0,35.0
GB,5,1.0,35.0,31.0
HOU,5,0.0,34.0,42.0
KC,5,1.0,42.0,34.0
CHI,5,0.0,17.0,20.0
MIN,5,1.0,20.0,17.0
CAR,6,0.0,23.0,28.0
PHI,6,1.0,28.0,23.0
ATL,6,0.0,17.0,20.0
MIA,6,1.0,20.0,17.0
WAS,6,1.0,26.0,24.0
SF,6,0.0,24.0,26.0
BAL,6,0.0,24.0,27.0
CHI,6,1.0,27.0,24.0
NYJ,6,0.0,17.0,24.0
NE,6,1.0,24.0,17.0
NO,6,1.0,52.0,38.0
DET,6,0.0,38.0,52.0
MIN,6,1.0,23.0,10.0
GB,6,0.0,10.0,23.0
HOU,6,1.0,33.0,17.0
CLE,6,0.0,17.0,33.0
ARI,6,1.0,38.0,33.0
TB,6,0.0,33.0,38.0
JAX,6,0.0,17.0,27.0
LA,6,1.0,27.0,17.0
OAK,6,0.0,16.0,17.0
LAC,6,1.0,17.0,16.0
KC,6,0.0,13.0,19.0
PIT,6,1.0,19.0,13.0
DEN,6,0.0,10.0,23.0
NYG,6,1.0,23.0,10.0
TEN,6,1.0,36.0,22.0
IND,6,0.0,22.0,36.0
OAK,7,1.0,31.0,30.0
KC,7,0.0,30.0,31.0
CHI,7,1.0,17.0,3.0
CAR,7,0.0,3.0,17.0
BUF,7,1.0,30.0,27.0
TB,7,0.0,27.0,30.0
LA,7,1.0,33.0,0.0
ARI,7,0.0,0.0,33.0
MIN,7,1.0,24.0,16.0
BAL,7,0.0,16.0,24.0
MIA,7,1.0,31.0,28.0
NYJ,7,0.0,28.0,31.0
GB,7,0.0,17.0,26.0
NO,7,1.0,26.0,17.0
