team,week,win,points_scored,points_given_up
SEA,1,1.0,36.0,16.0
GB,1,0.0,16.0,36.0
CHI,1,0.0,20.0,23.0
BUF,1,1.0,23.0,20.0
SL,1,0.0,6.0,34.0
MIN,1,1.0,34.0,6.0
BAL,1,0.0,16.0,23.0
CIN,1,1.0,23.0,16.0
PIT,1,1.0,30.0,27.0
CLE,1,0.0,27.0,30.0
PHI,1,1.0,34.0,17.0
JAX,1,0.0,17.0,34.0
NYJ,1,1.0,19.0,14.0
OAK,1,0.0,14.0,19.0
KC,1,0.0,10.0,26.0
TEN,1,1.0,26.0,10.0
ATL,1,1.0,37.0,34.0
NO,1,0.0,34.0,37.0
MIA,1,1.0,33.0,20.0
NE,1,0.0,20.0,33.0
HOU,1,1.0,17.0,6.0
WAS,1,0.0,6.0,17.0
TB,1,0.0,14.0,20.0
CAR,1,1.0,20.0,14.0
DAL,1,0.0,17.0,28.0
SF,1,1.0,28.0,17.0
DEN,1,1.0,31.0,24.0
IND,1,0.0,24.0,31.0
DET,1,1.0,35.0,14.0
NYG,1,0.0,14.0,35.0
ARI,1,1.0,18.0,17.0
SD,1,0.0,17.0,18.0
BAL,2,1.0,26.0,6.0
PIT,2,0.0,6.0,26.0
BUF,2,1.0,29.0,10.0
MIA,2,0.0,10.0,29.0
TEN,2,0.0,10.0,26.0
DAL,2,1.0,26.0,10.0
CLE,2,1.0,26.0,24.0
NO,2,0.0,24.0,26.0
CAR,2,1.0,24.0,7.0
DET,2,0.0,7.0,24.0
NYG,2,0.0,14.0,25.0
ARI,2,1.0,25.0,14.0
WAS,2,1.0,41.0,10.0
JAX,2,0.0,10.0,41.0
MIN,2,0.0,7.0,30.0
NE,2,1.0,30.0,7.0
CIN,2,1.0,24.0,10.0
ATL,2,0.0,10.0,24.0
TB,2,0.0,17.0,19.0
SL,2,1.0,19.0,17.0
SD,2,1.0,30.0,21.0
SEA,2,0.0,21.0,30.0
OAK,2,0.0,14.0,30.0
HOU,2,1.0,30.0,14.0
GB,2,1.0,31.0,24.0
NYJ,2,0.0,24.0,31.0
DEN,2,1.0,24.0,17.0
KC,2,0.0,17.0,24.0
SF,2,0.0,20.0,28.0
CHI,2,1.0,28.0,20.0
IND,2,0.0,27.0,30.0
PHI,2,1.0,30.0,27.0
ATL,3,1.0,56.0,14.0
TB,3,0.0,14.0,56.0
SL,3,0.0,31.0,34.0
DAL,3,1.0,34.0,31.0
BUF,3,0.0,10.0,22.0
SD,3,1.0,22.0,10.0
PHI,3,1.0,37.0,34.0
WAS,3,0.0,34.0,37.0
NYG,3,1.0,30.0,17.0
HOU,3,0.0,17.0,30.0
NE,3,1.0,16.0,9.0
OAK,3,0.0,9.0,16.0
JAX,3,0.0,17.0,44.0
IND,3,1.0,44.0,17.0
DET,3,1.0,19.0,7.0
GB,3,0.0,7.0,19.0
CLE,3,0.0,21.0,23.0
BAL,3,1.0,23.0,21.0
CIN,3,1.0,33.0,7.0
TEN,3,0.0,7.0,33.0
NO,3,1.0,20.0,9.0
MIN,3,0.0,9.0,20.0
ARI,3,1.0,23.0,14.0
SF,3,0.0,14.0,23.0
SEA,3,1.0,26.0,20.0
DEN,3,0.0,20.0,26.0
MIA,3,0.0,15.0,34.0
KC,3,1.0,34.0,15.0
CAR,3,0.0,19.0,37.0
PIT,3,1.0,37.0,19.0
NYJ,3,0.0,19.0,27.0
CHI,3,1.0,27.0,19.0
WAS,4,0.0,14.0,45.0
NYG,4,1.0,45.0,14.0
CHI,4,0.0,17.0,38.0
GB,4,1.0,38.0,17.0
BAL,4,1.0,38.0,10.0
CAR,4,0.0,10.0,38.0
NYJ,4,0.0,17.0,24.0
DET,4,1.0,24.0,17.0
HOU,4,1.0,23.0,17.0
BUF,4,0.0,17.0,23.0
IND,4,1.0,41.0,17.0
TEN,4,0.0,17.0,41.0
PIT,4,0.0,24.0,27.0
TB,4,1.0,27.0,24.0
OAK,4,0.0,14.0,38.0
MIA,4,1.0,38.0,14.0
SD,4,1.0,33.0,14.0
JAX,4,0.0,14.0,33.0
SF,4,1.0,26.0,21.0
PHI,4,0.0,21.0,26.0
MIN,4,1.0,41.0,28.0
ATL,4,0.0,28.0,41.0
DAL,4,1.0,38.0,17.0
NO,4,0.0,17.0,38.0
KC,4,1.0,41.0,14.0
NE,4,0.0,14.0,41.0
GB,5,1.0,42.0,10.0
MIN,5,0.0,10.0,42.0
PHI,5,1.0,34.0,28.0
SL,5,0.0,28.0,34.0
TEN,5,0.0,28.0,29.0
CLE,5,1.0,29.0,28.0
JAX,5,0.0,9.0,17.0
PIT,5,1.0,17.0,9.0
IND,5,1.0,20.0,13.0
BAL,5,0.0,13.0,20.0
CAR,5,1.0,31.0,24.0
CHI,5,0.0,24.0,31.0
NYG,5,1.0,30.0,20.0
ATL,5,0.0,20.0,30.0
NO,5,1.0,37.0,31.0
TB,5,0.0,31.0,37.0
DET,5,0.0,14.0,17.0
BUF,5,1.0,17.0,14.0
