team,week,win,points_scored,points_given_up
TB,6,0.0,26.0,37.0
CAR,6,1.0,37.0,26.0
CLE,6,0.0,28.0,32.0
SEA,6,1.0,32.0,28.0
BAL,6,1.0,23.0,17.0
CIN,6,0.0,17.0,23.0
MIN,6,1.0,38.0,20.0
PHI,6,0.0,20.0,38.0
MIA,6,0.0,16.0,17.0
WAS,6,1.0,17.0,16.0
KC,6,0.0,24.0,31.0
HOU,6,1.0,31.0,24.0
JAX,6,0.0,6.0,13.0
NO,6,1.0,13.0,6.0
ARI,6,1.0,34.0,33.0
ATL,6,0.0,33.0,34.0
LA,6,0.0,7.0,20.0
SF,6,1.0,20.0,7.0
NYJ,6,1.0,24.0,22.0
DAL,6,0.0,22.0,24.0
DEN,6,1.0,16.0,0.0
TEN,6,0.0,0.0,16.0
LAC,6,0.0,17.0,24.0
PIT,6,1.0,24.0,17.0
GB,6,1.0,23.0,22.0
DET,6,0.0,22.0,23.0
DEN,7,0.0,6.0,30.0
KC,7,1.0,30.0,6.0
BUF,7,1.0,31.0,21.0
MIA,7,0.0,21.0,31.0
ATL,7,0.0,10.0,37.0
LA,7,1.0,37.0,10.0
WAS,7,0.0,0.0,9.0
SF,7,1.0,9.0,0.0
NYG,7,0.0,21.0,27.0
ARI,7,1.0,27.0,21.0
GB,7,1.0,42.0,24.0
OAK,7,0.0,24.0,42.0
DET,7,0.0,30.0,42.0
MIN,7,1.0,42.0,30.0
IND,7,1.0,30.0,23.0
HOU,7,0.0,23.0,30.0
CIN,7,0.0,17.0,27.0
JAX,7,1.0,27.0,17.0
TEN,7,1.0,23.0,20.0
LAC,7,0.0,20.0,23.0
SEA,7,0.0,16.0,30.0
BAL,7,1.0,30.0,16.0
CHI,7,0.0,25.0,36.0
NO,7,1.0,36.0,25.0
DAL,7,1.0,37.0,10.0
PHI,7,0.0,10.0,37.0
NYJ,7,0.0,0.0,33.0
NE,7,1.0,33.0,0.0
MIN,8,1.0,19.0,9.0
WAS,8,0.0,9.0,19.0
BUF,8,0.0,13.0,31.0
PHI,8,1.0,31.0,13.0
ATL,8,0.0,20.0,27.0
SEA,8,1.0,27.0,20.0
LA,8,1.0,24.0,10.0
CIN,8,0.0,10.0,24.0
TEN,8,1.0,27.0,23.0
TB,8,0.0,23.0,27.0
NO,8,1.0,31.0,9.0
ARI,8,0.0,9.0,31.0
JAX,8,1.0,29.0,15.0
NYJ,8,0.0,15.0,29.0
DET,8,1.0,31.0,26.0
NYG,8,0.0,26.0,31.0
IND,8,1.0,15.0,13.0
DEN,8,0.0,13.0,15.0
CHI,8,0.0,16.0,17.0
LAC,8,1.0,17.0,16.0
SF,8,1.0,51.0,13.0
CAR,8,0.0,13.0,51.0
NE,8,1.0,27.0,13.0
CLE,8,0.0,13.0,27.0
HOU,8,1.0,27.0,24.0
OAK,8,0.0,24.0,27.0
KC,8,0.0,24.0,31.0
GB,8,1.0,31.0,24.0
PIT,8,1.0,27.0,14.0
MIA,8,0.0,14.0,27.0
ARI,9,0.0,25.0,28.0
SF,9,1.0,28.0,25.0
JAX,9,0.0,3.0,26.0
HOU,9,1.0,26.0,3.0
CAR,9,1.0,30.0,20.0
TEN,9,0.0,20.0,30.0
BUF,9,1.0,24.0,9.0
WAS,9,0.0,9.0,24.0
PIT,9,1.0,26.0,24.0
IND,9,0.0,24.0,26.0
PHI,9,1.0,22.0,14.0
CHI,9,0.0,14.0,22.0
MIA,9,1.0,26.0,18.0
NYJ,9,0.0,18.0,26.0
KC,9,1.0,26.0,23.0
MIN,9,0.0,23.0,26.0
SEA,9,1.0,40.0,34.0
TB,9,0.0,34.0,40.0
OAK,9,1.0,31.0,24.0
DET,9,0.0,24.0,31.0
LAC,9,1.0,26.0,11.0
GB,9,0.0,11.0,26.0
DEN,9,1.0,24.0,19.0
CLE,9,0.0,19.0,24.0
BAL,9,1.0,37.0,20.0
NE,9,0.0,20.0,37.0
NYG,9,0.0,18.0,37.0
DAL,9,1.0,37.0,18.0
OAK,10,1.0,26.0,24.0
LAC,10,0.0,24.0,26.0
CIN,10,0.0,13.0,49.0
BAL,10,1.0,49.0,13.0
CHI,10,1.0,20.0,13.0
DET,10,0.0,13.0,20.0
TB,10,1.0,30.0,27.0
ARI,10,0.0,27.0,30.0
TEN,10,1.0,35.0,32.0
KC,10,0.0,32.0,35.0
NYJ,10,1.0,34.0,27.0
NYG,10,0.0,27.0,34.0
NO,10,0.0,9.0,26.0
ATL,10,1.0,26.0,9.0
CLE,10,1.0,19.0,16.0
BUF,10,0.0,16.0,19.0
IND,10,0.0,12.0,16.0
MIA,10,1.0,16.0,12.0
PIT,10,1.0,17.0,12.0
LA,10,0.0,12.0,17.0
GB,10,1.0,24.0,16.0
CAR,10,0.0,16.0,24.0
DAL,10,0.0,24.0,28.0
MIN,10,1.0,28.0,24.0
SF,10,0.0,24.0,27.0
SEA,10,1.0,27.0,24.0
CLE,11,1.0,21.0,7.0
PIT,11,0.0,7.0,21.0
IND,11,1.0,33.0,13.0
JAX,11,0.0,13.0,33.0
CAR,11,0.0,3.0,29.0
ATL,11,1.0,29.0,3.0
WAS,11,0.0,17.0,34.0
NYJ,11,1.0,34.0,17.0
TB,11,0.0,17.0,34.0
NO,11,1.0,34.0,17.0
BAL,11,1.0,41.0,7.0
