team,week,win,points_scored,points_given_up
BAL,3,0.0,20.0,34.0
KC,3,1.0,34.0,20.0
NYJ,4,0.0,28.0,37.0
DEN,4,1.0,37.0,28.0
CHI,4,0.0,11.0,19.0
IND,4,1.0,19.0,11.0
CAR,4,1.0,31.0,21.0
ARI,4,0.0,21.0,31.0
WF,4,0.0,17.0,31.0
BAL,4,1.0,31.0,17.0
TB,4,1.0,38.0,31.0
LAC,4,0.0,31.0,38.0
MIA,4,0.0,23.0,31.0
SEA,4,1.0,31.0,23.0
HOU,4,0.0,23.0,31.0
MIN,4,1.0,31.0,23.0
DET,4,0.0,29.0,35.0
NO,4,1.0,35.0,29.0
DAL,4,0.0,38.0,49.0
CLE,4,1.0,49.0,38.0
CIN,4,1.0,33.0,25.0
JAX,4,0.0,25.0,33.0
LA,4,1.0,17.0,9.0
NYG,4,0.0,9.0,17.0
LV,4,0.0,23.0,30.0
BUF,4,1.0,30.0,23.0
SF,4,0.0,20.0,25.0
PHI,4,1.0,25.0,20.0
KC,4,1.0,26.0,10.0
NE,4,0.0,10.0,26.0
GB,4,1.0,30.0,16.0
ATL,4,0.0,16.0,30.0
CHI,5,1.0,20.0,19.0
TB,5,0.0,19.0,20.0
ATL,5,0.0,16.0,23.0
CAR,5,1.0,23.0,16.0
WF,5,0.0,10.0,30.0
LA,5,1.0,30.0,10.0
BAL,5,1.0,27.0,3.0
CIN,5,0.0,3.0,27.0
PIT,5,1.0,38.0,29.0
PHI,5,0.0,29.0,38.0
NYJ,5,0.0,10.0,30.0
ARI,5,1.0,30.0,10.0
KC,5,0.0,32.0,40.0
LV,5,1.0,40.0,32.0
HOU,5,1.0,30.0,14.0
JAX,5,0.0,14.0,30.0
SF,5,0.0,17.0,43.0
MIA,5,1.0,43.0,17.0
CLE,5,1.0,32.0,23.0
IND,5,0.0,23.0,32.0
DAL,5,1.0,37.0,34.0
NYG,5,0.0,34.0,37.0
SEA,5,1.0,27.0,26.0
MIN,5,0.0,26.0,27.0
NO,5,1.0,30.0,27.0
LAC,5,0.0,27.0,30.0
TEN,5,1.0,42.0,16.0
BUF,5,0.0,16.0,42.0
JAX,6,0.0,16.0,34.0
DET,6,1.0,34.0,16.0
IND,6,1.0,31.0,27.0
CIN,6,0.0,27.0,31.0
CAR,6,0.0,16.0,23.0
CHI,6,1.0,23.0,16.0
PIT,6,1.0,38.0,7.0
CLE,6,0.0,7.0,38.0
PHI,6,0.0,28.0,30.0
BAL,6,1.0,30.0,28.0
TEN,6,1.0,42.0,36.0
HOU,6,0.0,36.0,42.0
NYG,6,1.0,20.0,19.0
WF,6,0.0,19.0,20.0
NE,6,0.0,12.0,18.0
DEN,6,1.0,18.0,12.0
MIN,6,0.0,23.0,40.0
ATL,6,1.0,40.0,23.0
MIA,6,1.0,24.0,0.0
NYJ,6,0.0,0.0,24.0
TB,6,1.0,38.0,10.0
GB,6,0.0,10.0,38.0
SF,6,1.0,24.0,16.0
LA,6,0.0,16.0,24.0
BUF,6,0.0,17.0,26.0
KC,6,1.0,26.0,17.0
DAL,6,0.0,10.0,38.0
ARI,6,1.0,38.0,10.0
PHI,7,1.0,22.0,21.0
NYG,7,0.0,21.0,22.0
CIN,7,0.0,34.0,37.0
CLE,7,1.0,37.0,34.0
ATL,7,0.0,22.0,23.0
DET,7,1.0,23.0,22.0
WF,7,1.0,25.0,3.0
DAL,7,0.0,3.0,25.0
TEN,7,0.0,24.0,27.0
PIT,7,1.0,27.0,24.0
NYJ,7,0.0,10.0,18.0
BUF,7,1.0,18.0,10.0
NO,7,1.0,27.0,24.0
CAR,7,0.0,24.0,27.0
HOU,7,0.0,20.0,35.0
GB,7,1.0,35.0,20.0
LV,7,0.0,20.0,45.0
TB,7,1.0,45.0,20.0
LAC,7,1.0,39.0,29.0
JAX,7,0.0,29.0,39.0
NE,7,0.0,6.0,33.0
SF,7,1.0,33.0,6.0
DEN,7,0.0,16.0,43.0
KC,7,1.0,43.0,16.0
ARI,7,1.0,37.0,34.0
SEA,7,0.0,34.0,37.0
LA,7,1.0,24.0,10.0
CHI,7,0.0,10.0,24.0
CAR,8,0.0,17.0,25.0
ATL,8,1.0,25.0,17.0
BUF,8,1.0,24.0,21.0
NE,8,0.0,21.0,24.0
BAL,8,0.0,24.0,28.0
PIT,8,1.0,28.0,24.0
MIA,8,1.0,28.0,17.0
LA,8,0.0,17.0,28.0
KC,8,1.0,35.0,9.0
NYJ,8,0.0,9.0,35.0
GB,8,0.0,22.0,28.0
MIN,8,1.0,28.0,22.0
DET,8,0.0,21.0,41.0
IND,8,1.0,41.0,21.0
CLE,8,0.0,6.0,16.0
LV,8,1.0,16.0,6.0
CIN,8,1.0,31.0,20.0
TEN,8,0.0,20.0,31.0
DEN,8,1.0,31.0,30.0
LAC,8,0.0,30.0,31.0
CHI,8,0.0,23.0,26.0
NO,8,1.0,26.0,23.0
SEA,8,1.0,37.0,27.0
SF,8,0.0,27.0,37.0
PHI,8,1.0,23.0,9.0
DAL,8,0.0,9.0,23.0
NYG,8,0.0,23.0,25.0
TB,8,1.0,25.0,23.0
SF,9,0.0,17.0,34.0
GB,9,1.0,34.0,17.0
BUF,9,1.0,44.0,34.0
SEA,9,0.0,34.0,44.0
ATL,9,1.0,34.0,27.0
DEN,9,0.0,27.0,34.0
WF,9,0.0,20.0,23.0
NYG,9,1.0,23.0,20.0
TEN,9,1.0,24.0,17.0
CHI,9,0.0,17.0,24.0
MIN,9,1.0,34.0,20.0
DET,9,0.0,20.0,34.0
KC,9,1.0,33.0,31.0
CAR,9,0.0,31.0,33.0
JAX,9,0.0,25.0,27.0
HOU,9,1.0,27.0,25.0
IND,9,0.0,10.0,24.0
BAL,9,1.0,24.0,10.0
LAC,9,0.0,26.0,31.0
LV,9,1.0,31.0,26.0
DAL,9,0.0,19.0,24.0
PIT,9,1.0,24.0,19.0
ARI,9,0.0,31.0,34.0
MIA,9,1.0,34.0,31.0
TB,9,0.0,3.0,38.0
NO,9,1.0,38.0,3.0
NYJ,9,0.0,27.0,30.0
NE,9,1.0,30.0,27.0
TEN,10,0.0,17.0,34.0
IND,10,1.0,34.0,17.0
CLE,10,1.0,10.0,7.0
HOU,10,0.0,7.0,10.0
CAR,10,0.0,23.0,46.0
TB,10,1.0,46.0,23.0
NYG,10,1.0,27.0,17.0
PHI,10,0.0,17.0,27.0
GB,10,1.0,24.0,20.0
JAX,10,0.0,20.0,24.0
DET,10,1.0,30.0,27.0
WF,10,0.0,27.0,30.0
LV,10,1.0,37.0,12.0
DEN,10,0.0,12.0,37.0
MIA,10,1.0,29.0,21.0
LAC,10,0.0,21.0,29.0
ARI,10,1.0,32.0,30.0
BUF,10,0.0,30.0,32.0
LA,10,1.0,23.0,16.0
SEA,10,0.0,16.0,23.0
PIT,10,1.0,36.0,10.0
CIN,10,0.0,10.0,36.0
NO,10,1.0,27.0,13.0
SF,10,0.0,13.0,27.0
NE,10,1.0,23.0,17.0
BAL,10,0.0,17.0,23.0
CHI,10,0.0,13.0,19.0
MIN,10,1.0,19.0,13.0
SEA,11,1.0,28.0,21.0
ARI,11,0.0,21.0,28.0
CLE,11,1.0,22.0,17.0
PHI,11,0.0,17.0,22.0
CAR,11,1.0,20.0,0.0
DET,11,0.0,0.0,20.0
WF,11,1.0,20.0,9.0
CIN,11,0.0,9.0,20.0
BAL,11,0.0,24.0,30.0
TEN,11,1.0,30.0,24.0
NO,11,1.0,24.0,9.0
ATL,11,0.0,9.0,24.0
JAX,11,0.0,3.0,27.0
PIT,11,1.0,27.0,3.0
HOU,11,1.0,27.0,20.0
NE,11,0.0,20.0,27.0
LAC,11,1.0,34.0,28.0
NYJ,11,0.0,28.0,34.0
DEN,11,1.0,20.0,13.0
MIA,11,0.0,13.0,20.0
MIN,11,0.0,28.0,31.0
DAL,11,1.0,31.0,28.0
IND,11,1.0,34.0,31.0
GB,11,0.0,31.0,34.0
LV,11,0.0,31.0,35.0
KC,11,1.0,35.0,31.0
TB,11,0.0,24.0,27.0
LA,11,1.0,27.0,24.0
DET,12,0.0,25.0,41.0
HOU,12,1.0,41.0,25.0
DAL,12,0.0,16.0,41.0
WF,12,1.0,41.0,16.0
ATL,12,1.0,43.0,6.0
LV,12,0.0,6.0,43.0
NYJ,12,0.0,3.0,20.0
MIA,12,1.0,20.0,3.0
NE,12,1.0,20.0,17.0
ARI,12,0.0,17.0,20.0
MIN,12,1.0,28.0,27.0
CAR,12,0.0,27.0,28.0
JAX,12,0.0,25.0,27.0
CLE,12,1.0,27.0,25.0
IND,12,0.0,26.0,45.0
TEN,12,1.0,45.0,26.0
CIN,12,0.0,17.0,19.0
NYG,12,1.0,19.0,17.0
BUF,12,1.0,27.0,17.0
LAC,12,0.0,17.0,27.0
LA,12,0.0,20.0,23.0
SF,12,1.0,23.0,20.0
DEN,12,0.0,3.0,31.0
NO,12,1.0,31.0,3.0
TB,12,0.0,24.0,27.0
KC,12,1.0,27.0,24.0
GB,12,1.0,41.0,25.0
CHI,12,0.0,25.0,41.0
PHI,12,0.0,17.0,23.0
SEA,12,1.0,23.0,17.0
PIT,12,1.0,19.0,14.0
BAL,12,0.0,14.0,19.0
CHI,13,0.0,30.0,34.0
DET,13,1.0,34.0,30.0
ATL,13,0.0,16.0,21.0
NO,13,1.0,21.0,16.0
TEN,13,0.0,35.0,41.0
CLE,13,1.0,41.0,35.0
NYJ,13,0.0,28.0,31.0
LV,13,1.0,31.0,28.0
MIN,13,1.0,27.0,24.0
JAX,13,0.0,24.0,27.0
MIA,13,1.0,19.0,7.0
CIN,13,0.0,7.0,19.0
HOU,13,0.0,20.0,26.0
IND,13,1.0,26.0,20.0
ARI,13,0.0,28.0,38.0
LA,13,1.0,38.0,28.0
SEA,13,0.0,12.0,17.0
NYG,13,1.0,17.0,12.0
LAC,13,0.0,0.0,45.0
NE,13,1.0,45.0,0.0
GB,13,1.0,30.0,16.0
PHI,13,0.0,16.0,30.0
KC,13,1.0,22.0,16.0
DEN,13,0.0,16.0,22.0
PIT,13,0.0,17.0,23.0
WF,13,1.0,23.0,17.0
SF,13,0.0,24.0,34.0
BUF,13,1.0,34.0,24.0
BAL,13,1.0,34.0,17.0
DAL,13,0.0,17.0,34.0
LA,14,1.0,24.0,3.0
NE,14,0.0,3.0,24.0
CAR,14,0.0,27.0,32.0
DEN,14,1.0,32.0,27.0
TB,14,1.0,26.0,14.0
MIN,14,0.0,14.0,26.0
NYG,14,0.0,7.0,26.0
ARI,14,1.0,26.0,7.0
MIA,14,0.0,27.0,33.0
KC,14,1.0,33.0,27.0
JAX,14,0.0,10.0,31.0
TEN,14,1.0,31.0,10.0
CIN,14,0.0,7.0,30.0
DAL,14,1.0,30.0,7.0
CHI,14,1.0,36.0,7.0
HOU,14,0.0,7.0,36.0
SEA,14,1.0,40.0,3.0
NYJ,14,0.0,3.0,40.0
LV,14,0.0,27.0,44.0
IND,14,1.0,44.0,27.0
SF,14,0.0,15.0,23.0
WF,14,1.0,23.0,15.0
LAC,14,1.0,20.0,17.0
ATL,14,0.0,17.0,20.0
PHI,14,1.0,24.0,21.0
NO,14,0.0,21.0,24.0
DET,14,0.0,24.0,31.0
GB,14,1.0,31.0,24.0
BUF,14,1.0,26.0,15.0
PIT,14,0.0,15.0,26.0
CLE,14,0.0,42.0,47.0
BAL,14,1.0,47.0,42.0
LV,15,0.0,27.0,30.0
LAC,15,1.0,30.0,27.0
DEN,15,0.0,19.0,48.0
BUF,15,1.0,48.0,19.0
GB,15,1.0,24.0,16.0
CAR,15,0.0,16.0,24.0
WF,15,0.0,15.0,20.0
SEA,15,1.0,20.0,15.0
BAL,15,1.0,40.0,14.0
JAX,15,0.0,14.0,40.0
TEN,15,1.0,46.0,25.0
DET,15,0.0,25.0,46.0
MIN,15,0.0,27.0,33.0
CHI,15,1.0,33.0,27.0
MIA,15,1.0,22.0,12.0
NE,15,0.0,12.0,22.0
DAL,15,1.0,41.0,33.0
SF,15,0.0,33.0,41.0
IND,15,1.0,27.0,20.0
HOU,15,0.0,20.0,27.0
ATL,15,0.0,27.0,31.0
TB,15,1.0,31.0,27.0
LA,15,0.0,20.0,23.0
NYJ,15,1.0,23.0,20.0
ARI,15,1.0,33.0,26.0
PHI,15,0.0,26.0,33.0
NO,15,0.0,29.0,32.0
KC,15,1.0,32.0,29.0
NYG,15,0.0,6.0,20.0
CLE,15,1.0,20.0,6.0
CIN,15,1.0,27.0,17.0
PIT,15,0.0,17.0,27.0
NO,16,1.0,52.0,33.0
MIN,16,0.0,33.0,52.0
DET,16,0.0,7.0,47.0
TB,16,1.0,47.0,7.0
ARI,16,0.0,12.0,20.0
SF,16,1.0,20.0,12.0
LV,16,0.0,25.0,26.0
MIA,16,1.0,26.0,25.0
BAL,16,1.0,27.0,13.0
NYG,16,0.0,13.0,27.0
PIT,16,1.0,28.0,24.0
IND,16,0.0,24.0,28.0
NYJ,16,1.0,23.0,16.0
CLE,16,0.0,16.0,23.0
KC,16,1.0,17.0,14.0
ATL,16,0.0,14.0,17.0
JAX,16,0.0,17.0,41.0
CHI,16,1.0,41.0,17.0
HOU,16,0.0,31.0,37.0
CIN,16,1.0,37.0,31.0
WF,16,0.0,13.0,20.0
CAR,16,1.0,20.0,13.0
LAC,16,1.0,19.0,16.0
DEN,16,0.0,16.0,19.0
SEA,16,1.0,20.0,9.0
LA,16,0.0,9.0,20.0
DAL,16,1.0,37.0,17.0
PHI,16,0.0,17.0,37.0
GB,16,1.0,40.0,14.0
TEN,16,0.0,14.0,40.0
