team,week,win,points_scored,points_given_up
KC,1,1.0,34.0,20.0
HOU,1,0.0,20.0,34.0
BUF,1,1.0,27.0,17.0
NYJ,1,0.0,17.0,27.0
ATL,1,0.0,25.0,38.0
SEA,1,1.0,38.0,25.0
WF,1,1.0,27.0,17.0
PHI,1,0.0,17.0,27.0
BAL,1,1.0,38.0,6.0
CLE,1,0.0,6.0,38.0
NE,1,1.0,21.0,11.0
MIA,1,0.0,11.0,21.0
MIN,1,0.0,34.0,43.0
GB,1,1.0,43.0,34.0
JAX,1,1.0,27.0,20.0
IND,1,0.0,20.0,27.0
DET,1,0.0,23.0,27.0
CHI,1,1.0,27.0,23.0
CAR,1,0.0,30.0,34.0
LV,1,1.0,34.0,30.0
CIN,1,0.0,13.0,16.0
LAC,1,1.0,16.0,13.0
SF,1,0.0,20.0,24.0
ARI,1,1.0,24.0,20.0
NO,1,1.0,34.0,23.0
TB,1,0.0,23.0,34.0
LA,1,1.0,20.0,17.0
DAL,1,0.0,17.0,20.0
NYG,1,0.0,16.0,26.0
PIT,1,1.0,26.0,16.0
DEN,1,0.0,14.0,16.0
TEN,1,1.0,16.0,14.0
CLE,2,1.0,35.0,30.0
CIN,2,0.0,30.0,35.0
IND,2,1.0,28.0,11.0
MIN,2,0.0,11.0,28.0
CHI,2,1.0,17.0,13.0
NYG,2,0.0,13.0,17.0
TB,2,1.0,31.0,17.0
CAR,2,0.0,17.0,31.0
PIT,2,1.0,26.0,21.0
DEN,2,0.0,21.0,26.0
PHI,2,0.0,19.0,37.0
LA,2,1.0,37.0,19.0
TEN,2,1.0,33.0,30.0
JAX,2,0.0,30.0,33.0
NYJ,2,0.0,13.0,31.0
SF,2,1.0,31.0,13.0
MIA,2,0.0,28.0,31.0
BUF,2,1.0,31.0,28.0
GB,2,1.0,42.0,21.0
DET,2,0.0,21.0,42.0
DAL,2,1.0,40.0,39.0
ATL,2,0.0,39.0,40.0
ARI,2,1.0,30.0,15.0
WF,2,0.0,15.0,30.0
LAC,2,0.0,20.0,23.0
KC,2,1.0,23.0,20.0
HOU,2,0.0,16.0,33.0
BAL,2,1.0,33.0,16.0
SEA,2,1.0,35.0,30.0
NE,2,0.0,30.0,35.0
LV,2,1.0,34.0,24.0
NO,2,0.0,24.0,34.0
JAX,3,0.0,13.0,31.0
MIA,3,1.0,31.0,13.0
BUF,3,1.0,35.0,32.0
LA,3,0.0,32.0,35.0
ATL,3,0.0,26.0,30.0
CHI,3,1.0,30.0,26.0
PIT,3,1.0,28.0,21.0
HOU,3,0.0,21.0,28.0
NYG,3,0.0,9.0,36.0
SF,3,1.0,36.0,9.0
NE,3,1.0,36.0,20.0
LV,3,0.0,20.0,36.0
MIN,3,0.0,30.0,31.0
TEN,3,1.0,31.0,30.0
CLE,3,1.0,34.0,20.0
WF,3,0.0,20.0,34.0
LAC,3,0.0,16.0,21.0
CAR,3,1.0,21.0,16.0
IND,3,1.0,36.0,7.0
NYJ,3,0.0,7.0,36.0
SEA,3,1.0,38.0,31.0
DAL,3,0.0,31.0,38.0
DEN,3,0.0,10.0,28.0
TB,3,1.0,28.0,10.0
ARI,3,0.0,23.0,26.0
DET,3,1.0,26.0,23.0
NO,3,0.0,30.0,37.0
GB,3,1.0,37.0,30.0
